dataset,query,duplicates
gossipcop,13582270023884146866,13582270023884146866 8182367539180127546 16825458760271544958 5433803303157791165 5834989728077188584 16825458760271544958 10383905598372075497 16825458760271544958 8127899122331575120 16825458760271544958 16825458760271544958 17417331061511485470 16825458760271544958 12180549289547915377 13146369128602344110 15122112254378871381 1494124538809844467 11829691253804148036 2661093739887641643 13924642072540487057 16825458760271544958 6003672493568638805 4678838605619069730 13065740212863262916 4678838605619069730 6557733797392163949 9565263713829069795 16293498720400652401 9165470884063392954
gossipcop,14718547494872173765,14718547494872173765 6272107575520741565 682762147588609226 15519305496861600502 9105320174462918013 26740407174841685 26740407174841685 6723024621369213230 15311399833684264426 14790605088406785229 1359745576682051052 5553976360172351446 4918074534739088795 17826769991796359871 1359745576682051052 12740400784814551738 18328955991071088125 1359745576682051052 13503666156367075446 16825458760271544958 16825458760271544958 16825458760271544958 364724544166113791 3775712701246569477 62903591825525463 1014922190798744278 8241178902378531830
gossipcop,2487201213795593356,2487201213795593356 9266939067318556033 9627823958237148560 495987884696349832 946306778308076525 17840311879045792429 15125466018102726486 5350656418625741288 17408410041663446808 7396452968967046919 3688634328548418380 2779580932132967734 4888734922558687686 8026379548856081419 4299049444658554491 979916109687128469 4200571512488462021 6122486243432471120 10486639201161872427 17189584031156441948 6311809811361292412 9426735383730282143 16825458760271544958 13886086530629134942 227433731286096201 2476653071442759961 3599988997822251213
gossipcop,4849747396354424968,1748916805773785342 4849747396354424968 6901297526706560758 18073722149751821356 12464271563732749601 6901583536707361938 3425657203544140486 18182951625669825860 12374790637801789922 248699285412707845 6029297168606017054 3076255718626415824 5389516557486929729 18066442311793465409 7520833434897559851 10239256620518893818 14542480872194508357 13665098660582773506 7185032200414356069 6242011529378404703 1238028742446292258 7957273311596106548 14773363771292545832 11403397196453153447 16825458760271544958 9956412693563680373 7750281636634729583
gossipcop,12182134854594069266,12182134854594069266 130523554769019474 3102877997203718994 2983532677945884946 7069552239341543076 4756554386196706571 15433335852604273673 8665671914061063168 15660482197977380952 13290249647996334860 10892818882033499829 1245487335912277369 139201251261080111 2944273510033588058 17577306789580750147 8233326384263623680 9583072600590259752 14917510004589277781 16661451180310686358 4308779483853422618 16418736865112470713 16483648070757114211 14000446332446400600 7904573233385240295
gossipcop,12394203911897226529,11446739884238823757 17212444448871797331 3599034517538289236 8763769823918085922 16028102862913675260 3111521875906638087 13977080246450875029 11277910672961264144 9023897439625029933 12008616586062168251 18300788952638789164 8657730282076249359 17206476360173719652 7860894684203153310 8609784162961529378 7739696617149165848 1405695203764608861 14161263484696766566 10715141318942223245 3718425314032653930 1405714751665545707 15903633636362129007 12215832368518706987 1630991316799595186 13575524523727589223 17593462031245693531 5141402837991998589
gossipcop,3608364861372521853,3608364861372521853 16556847291956434181 11888703095049389341 9098849068261577006 13305444824500750384 3933462282815783010 15145791849177869986 26740407174841685 5591802800190095735 9152155211421505424 13418590208944928943 11901910604144348955 13024974833988708786 13951353654065623998 3905862238865481252 7296592471538115846 10824985429252058438 7556412807917988932 672904444919818544 17020266644472129664 16825458760271544958 8844895143444769759 3775712701246569477 17186472527355842355 2406223372887010123 2217586560387087738 11950050430735134819
gossipcop,12934912938727627310,3766683187407830355 16825458760271544958 16825458760271544958 8070492113792516698 18164042248053062133 15912412179675042227 11649327057292817322 16719045916692314087 16825458760271544958 8949933817884787069 5241280156411824757 17996584166773006993 16825458760271544958 1715502943053660580 15966488622011584530 1099874904264622055 7784408005998641528 45422012310188691 1860560068881694516 7482845673350185660 15118857033456112271 7789192251697045860 8606188725527035792 2442655076127334974 16825458760271544958 13989306400883813238 12741948922374913366 12511112482081279361
gossipcop,657245583574112608,3775712701246569477 3775713799682284551 3775712701246569477 11721199839450906013 9228196697101108804 2729963768598828733 16825458760271544958 9227108634792739091 2636186751600340298 16825458760271544958 12045253141998132889 14614615967879836516 14614615967879836516 18307751869850614376 18154712768152280033 9173915355935875921 15206121951091051632 671070961591851265 14629231264722863112 16825458760271544958 601208605586118061 1920822557593046721 3336616004886267161 16825458760271544958 15002958238459656841 3275030226527726516 16159019263559676678
gossipcop,14651026012157759341,14651026012157759341 5427583129540577868 15853774109064080917 9811182933325810033 9357571155284874143 8648631750513957054 2308111446846224002 16825458760271544958 16825458760271544958 14664200400311538424 16825458760271544958 16825458760271544958 16825458760271544958 17208402700312775688 16825458760271544958 17430697607227204963 16825458760271544958 8533181650149362182 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 2636186751600340298 16825458760271544958 8712383746677718323
gossipcop,6043366810580006914,6043366810580006914 6314919741544250142 5809179629844279360 1869895767826693 10010919998588190363 16825458760271544958 15560668950975364324 18158245178808343700 3828552718626730811 7219845444945600132 16964132128733306381 16825458760271544958 8313057540857425561 5264714650115178646 16825458760271544958 16825458760271544958 16825458760271544958 18153804712392502649 14563175609436973106 2179755718958230735 14503989186057407085 448272006991125726 12715893154790389673 11588400795344397196 16825458760271544958 16825458760271544958 14529744454541482205 16825458760271544958
gossipcop,18058346233104160240,2090216867775216640 15728994705552537811 4828576785071472690 5647854405398162873 16825458760271544958 11135477630743254707 12156084638215345703 2395042120739815713 16825458760271544958 10726579686789280911 11677456969882568838 16825458760271544958 16825458760271544958 16825458760271544958 14614615967879836516 3952703873339730911 16746463697743937234 10611810206813161121 8562527976571057479 13412393222899178748 16742809685640938084 7886478341458727120 17224894402073462851 12757580504282629509 8594847210454389194 10016917020700462144 15934082429701424320
gossipcop,6650318357339868115,18251590997480999647 15873655759578344275 966915266816642011 16825458760271544958 16825458760271544958 16825458760271544958 127021320226800004 1510148177646909557 16825458760271544958 15803946043870830233 1370527254736932227 16825458760271544958 11705170699396146051 3694715384795413345 15560668950975364324 3836058231191537590 10933829923631344518 4904075319170632796 2193275683523218679 12322795723122793319 1285770888303887412 3383282582434295074 16825458760271544958 16825458760271544958 4996192529739614163 4071735178371794816 5044457252111740969
gossipcop,2445861907880524856,2445861907880524856 5786679113150428225 13819905266868146947 334008077912034539 12750410697798830033 1356897433287428098 1768742070730801328 14524918228410508807 16825458760271544958 16825458760271544958 13351903253146396260 16825458760271544958 16825458760271544958 17623804507332317070 1696039689312770915 18302470642073929275 15629797954834203937 15257352711932883920 228717248889504195 16825458760271544958 10646873346695672726 8600922105751245345 5086455847974695631 16825458760271544958 17957619779852918242 14744636088404527774
gossipcop,17988625979358727778,17988625979358727778 9198903729592411051 16868134088217503189 258029609711330000 4673998585886857546 5898977410323831874 18203779483827515092 9818929506727398885 17859605048127056674 16825458760271544958 16825458760271544958 12715893154790389673 15917092200569908787 16825458760271544958 15891518473343376271 7863554480978077852 14944431192066878415 3670445992851069296 16825458760271544958 1527859182876682057 15723315785951871978 43146026257223680 6676094196615846982 8623372582104664734 1913581442760850616 14614615967879836516 8659915730641284318 8654208197784117142 4849977155169075492
gossipcop,13977149108664838690,13977149108664838690 14388954089096128326 21277393354264164 1014536168073426552 256448168229591779 1433400713212911184 2323355777584537093 1742923074624061040 5613195197458964413 7784112725194759760 6122417466488459260 15019439401086354894 10933826728245961704 6174285439857383953 12565113205254752732 16790021082744183001 2308664105474799879 2385224788040834949 1115456947849828977 12495227756083173233 10632350179524677630 6628204491359625764 14435446502542371924 4918074534739088795 1223763693638393591 15685091424805608569 2400424982108012293 9576067635604309883 6114955564799895901
gossipcop,38439623799415100,38439623799415100 16825458760271544958 16825458760271544958 26740407174841685 15577556729999898657 9913928586998553784 16825458760271544958 4623988507451596692 16825458760271544958 5132780051474408163 16825458760271544958 17183908082934106526 16825458760271544958 4616626973625549812 5865995610629984310 4918074534739088795 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 288616050919126681 16825458760271544958 16825458760271544958 16825458760271544958
gossipcop,3533839484654622177,16698649272288429101 6147989197297535714 10918495418547228039 16178322073514829259 16825458760271544958 1738937548035341437 7865409219743449597 12091819325681148739 11916965687201377085 4521112401551099678 10835390480909948357 16418736865112470713 14325183580216251435 9771921760570802794 7381351490817117956 7502568322108033489 10668049212232352802 7105733128097799883 11142183980455874086 18432171600126827104 3437798685705367596 8493093208606425263 4259514049020247511 16825458760271544958 11554488570174677796 16825458760271544958
gossipcop,18102799192768631615,18102799192768631615 3109725302625685240 15511569578913818259 4713810696960313899 5199039039073743209 884152972698949420 3081589430646843989 1199581658209558138 16723480052477105827 6864586602407563724 15465014955866678370 4834558901204608343 5507941101274488182 12536693284875688492 16825458760271544958 2264849207580994894 16723501507296258120 2747480670532037921 14849653284923438769 11187222996393172973 2923408659061412726 40865189111026135 16286968782387276441 16825458760271544958 16825458760271544958 8118954706932841156 166348703116468210 9965628336660257635
gossipcop,2441759794560377119,2441759794560377119 10401366839551657073 15016031113024116493 3626393630332076874 12423345958339237474 13323311803324143453 4102820085637614843 1968162480408703267 11800882179125852822 15508507677147008608 16825458760271544958 16825458760271544958 808385380117084405 10419162148619628777 16825458760271544958 3775713799682284551 3775713799682284551 13849230346162984929 3754274645532867005 6210220688884792561 1992684588749904913 14706718702930864080 17933462410144227032 8843685477464692250 15059195493129249267 6298550322291296424
gossipcop,18272748981326330582,2800976385158494237 18272748981326330582 1151430544677621037 16825458760271544958 8499013191620799462 2692697763824526104 14049372451362549018 16825458760271544958 8954492732394806122 9580800031031967572 3717225120580671615 7281937831780012371 13334776892020363731 13149742956091223886 1272210980027635916 13412728734251842396 12965405611020486401 2624507534533145733 4429385304252166506 18011755561405605677 17468826001353339352 10721361417255674188 15560668950975364324 16825458760271544958 18158832636953302120 10455353521122046596
gossipcop,10061651125013069446,10061651125013069446 6873851918988984210 2252460330481139346 16825458760271544958 16825458760271544958 2144623077882084356 1162280585370045550 15614087967073302217 1679569334105758794 9554277125030303243 16156457161273348282 1074759222535423037 16483820355055927030 4049234425399633883 1860590912709471297 4053041268344987105 8651609409115456867 16012956812450385398 8807639822584868864 16268482900743223507 14566932692166550042 806165461160843152 5714688119395027356 1220581375080433033 14638441656662710196 16825458760271544958 4154344187593135898
gossipcop,79434637867492367,15302626166470665492 12214552705638825812 2396153155971005000 4927702732971533543 9428460452485306128 3818364275194429313 12907529790803921863 14242429684195449259 6284085870359526637 3990808196024330732 11603421809364243101 7453513913227852733 14449395367612825662 8686825516198268145 13052887318158844405 10124093062312535508 16825458760271544958 17696759561256442360 2396153155971005000 3000253407846248664 11948851074978494145 17358583247135947181 16825458760271544958 17329091366540504522 9814211131119043658 9745902127064177600
gossipcop,4621377148907646080,4621377148907646080 5223123315947041777 16825458760271544958 16825458760271544958 7911949688072214000 2651610141931786552 6833412752222678447 10477703423055976562 3441107834312608865 9672834468454472987 4790901887445728130 15074725064783434107 4770663352078237281 14401100103622988734 5291070548165707693 16825458760271544958 13144134045848764714 11361558112543484387 8627856013255464461 9121982316321956647 2013483014277119867 16825458760271544958 10218119067766197359 12715893154790389673 9599744686516686932 10688404063191149328 16865617809618395073 16825458760271544958
gossipcop,10343347958699966524,10343347958699966524 16501566397947147464 2230932497563531127 6890215601659506309 7327620075907513521 9623784051411953195 9632800064476473003 7295597234048313235 8016882235075571372 13796072852488946246 16825458760271544958 12948618235170273765 107415191976180525 8623372582104664734 13741890250944190933 12363581016235958006 1366817098411647637 8623372582104664734 1584765938764253209 16825458760271544958 16219714102227371366 7444115993641060794 15806313156415888173 10973762961738303733 3525960761544150255 3138127592744394880 8939455070009058271 11560245234357237304
gossipcop,14305524551091908148,14808007347337554377 1021757215132565522 17267553156786399716 1428887764549080638 17045237973100891870 9413391785130140176 16825458760271544958 15926516460496544059 16825458760271544958 6376780255974380682 2685417713927473604 7374357966685679933 2076350941127236523 16825458760271544958 16825458760271544958 18423583517372058842 14822446545417102571 1050767307736946740 16558961687091822672 16825458760271544958 16825458760271544958 12896259084287249095 13567423775149037966 4918074534739088795 16825458760271544958 13054864702874912747
gossipcop,8152914213816886556,8152914213816886556 1116960291610201818 8842525798607423697 162915219148148399 1876805883758924404 10484847910984067730 9032313617924364534 445102654258840821 12517716398257102226 16825458760271544958 7282936101684400287 1503622755837301783 17807911746457115677 17006071985614834594 16825458760271544958 4921672879774506945 18395622896755571410 16825458760271544958 12722900258660165355 16133585467183491409 16825458760271544958 16825458760271544958 11810864108098685163 16825458760271544958 16825458760271544958
gossipcop,12510264200232120830,12510264200232120830 8657364523757076614 8656238486411280518 9255779047323216426 11012372159224179639 18113927238479433169 5854258602169220420 10905954345698368574 10337988023838239051 15206292858176155440 5054553403040262595 5742342921474793297 15349783869200871348 5426705143973521989 1024980568692832960 5845564444951166761 14834194754046211930 14792928593278287308 74645769661931032 106470601760689504 12583889677723723660 16825458760271544958 16825458760271544958 16825458760271544958 15349653310290489389 17751583625559629340 1369103410481766884
gossipcop,17974896529559794397,17974896529559794397 7867259206747046770 9199396969518065356 11178166577281426267 8698239960196731582 14795591860832318109 14857802895751946860 12047400007868231230 1869895767826693 1869895767826693 11984174969511846056 11651227879062516070 11325240467466190648 6985513459137577331 16825458760271544958 7307733653657055617 1798807875427367902 4038356137528856355 16825458760271544958 16825458760271544958 12715893154790389673 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958
gossipcop,8019258836289614643,17888308241447366513 14934213801098512332 3341700425354730729 16426518207039112696 2387397637010220103 10216905981404742858 8172481477022147481 17955686427470711732 5673347227751647826 9367427956571348519 8666586642906006530 432716204283593761 6147989197297535714 3892192361491738376 8019258836289614643 5155851164970969524 15518189198034367716 3218905283971341042 6630027749131956550 12039298986456792490 11117228978074249463 10461158404540700429 10848400752572372998 8363297926749617674 1980848137441008005 1862416878598215086
gossipcop,12928925708293802152,12928925708293802152 13973594777219099099 13612913293772595786 16429577039937319364 6499399950288620690 18008783982897954215 17462610673466104666 8407926734505381442 16825458760271544958 4612018862683993503 15466885348807152079 17596025299006800400 2118944275257934469 5360744886743921043 6561587467596929038 13473589987884583581 6987981358011984803 455535081701095497 6514778867376474645 350116617553289635 4797107713915305294 16294463893931633003 7375678199358596454 12599706134125703801 4693237241324079648 16633693285441416246 12940736124063104775 16949348809722398274 716895274963161437 5416206886231850228
gossipcop,13796072852488946246,13796072852488946246 16825458760271544958 16825458760271544958 17499950213957655085 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 6741044849059041041 16825458760271544958 3747359044702347209 4811251983860906246 16894247972068490394 6741044849059041041 8455570684524472403 760525385177774819 11580826163779778262 15655265829933496526 4274277933998273432 2156646910066545752 3287648877989195663 32379711733857322 4660750750702806662 9729635753344544362 16825458760271544958 4259350096310724352
gossipcop,1762810220557509680,105993084359709206 1762810220557509680 16274059887105066273 16825458760271544958 7292899894593464302 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 10989723175473258870 16825458760271544958 16825458760271544958 17727008139916987502 16089280070255051529 9295885131683386477 12715893154790389673 10104601300192620777 6930325215115473360 16825458760271544958 3781156406020734673
